Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Check hiển thị đúng số format tiền tệ (VND).,AMS-272,10712,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:21 AM,14/Jan/26 11:21 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0029z:,,,,,,10326,AMS-72,Kiểm thử E2E Hiển thị,To Do,14/Jan/26 11:21 AM
Cypress check CSS class (màu đỏ cho đi muộn).,AMS-271,10710,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0029r:,,,,,,10326,AMS-72,Kiểm thử E2E Hiển thị,To Do,14/Jan/26 11:20 AM
Refactor code smell module Xếp ca.,AMS-270,10708,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0029j:,,,,,,10324,AMS-71,Review Code & Coverage,To Do,14/Jan/26 11:20 AM
Check SonarQube/Coverage report.,AMS-269,10706,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0029b:,,,,,,10324,AMS-71,Review Code & Coverage,To Do,14/Jan/26 11:20 AM
Pull Request Review checklist.,AMS-268,10704,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00293:,,,,,,10324,AMS-71,Review Code & Coverage,To Do,14/Jan/26 11:20 AM
Review với BA/PO.,AMS-267,10702,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0028v:,,,,,,10320,AMS-69,Viết Manual Test Case,To Do,14/Jan/26 11:20 AM
"Viết các steps check logic nghiệp vụ phức tạp (Auth, Org).",AMS-266,10700,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0028n:,,,,,,10320,AMS-69,Viết Manual Test Case,To Do,14/Jan/26 11:20 AM
Tạo File Excel Test Plan.,AMS-265,10698,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:20 AM,14/Jan/26 11:20 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0028f:,,,,,,10320,AMS-69,Viết Manual Test Case,To Do,14/Jan/26 11:20 AM
Logic: Khi tính lương check ngày này lấy hệ số OT.,AMS-264,10696,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:19 AM,14/Jan/26 11:19 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00287:,,,,,,10349,AMS-88,Cấu hình Ngày lễ & Hệ số,To Do,14/Jan/26 11:19 AM
CRUD API.,AMS-263,10694,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:19 AM,14/Jan/26 11:19 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0027z:,,,,,,10349,AMS-88,Cấu hình Ngày lễ & Hệ số,To Do,14/Jan/26 11:19 AM
"Table holidays (date, coefficient).",AMS-262,10692,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:18 AM,14/Jan/26 11:18 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0027r:,,,,,,10349,AMS-88,Cấu hình Ngày lễ & Hệ số,To Do,14/Jan/26 11:18 AM
Flow: Chốt công -> Tính lương -> Ra con số -> Lock lương -> Check Email.,AMS-261,10690,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:18 AM,14/Jan/26 11:18 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0027j:,,,,,,10304,AMS-61,Kiểm thử E2E Quy trình Lương,To Do,14/Jan/26 11:18 AM
Check sai số floating point (dùng Decimal type).,AMS-260,10688,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:18 AM,14/Jan/26 11:18 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0027b:,,,,,,10302,AMS-60,Unit Test Logic Tài chính,To Do,14/Jan/26 11:18 AM
Assert Tổng lương = Các thành phần cộng lại.,AMS-259,10686,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:18 AM,14/Jan/26 11:18 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00273:,,,,,,10302,AMS-60,Unit Test Logic Tài chính,To Do,14/Jan/26 11:18 AM
Assert 10/3 xử lý làm tròn như thế nào.,AMS-258,10684,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:18 AM,14/Jan/26 11:18 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0026v:,,,,,,10302,AMS-60,Unit Test Logic Tài chính,To Do,14/Jan/26 11:18 AM
Save button (Update batch).,AMS-257,10682,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:17 AM,14/Jan/26 11:17 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0026n:,,,,,,10298,AMS-58,UI Nhập liệu KPI,To Do,14/Jan/26 11:17 AM
Input field nhập tiền thưởng/KPI.,AMS-256,10680,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:17 AM,14/Jan/26 11:17 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0026f:,,,,,,10298,AMS-58,UI Nhập liệu KPI,To Do,14/Jan/26 11:17 AM
Table list nhân viên.,AMS-255,10678,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:17 AM,14/Jan/26 11:17 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00267:,,,,,,10298,AMS-58,UI Nhập liệu KPI,To Do,14/Jan/26 11:17 AM
Flow: Xếp ca trùng -> Show Error.,AMS-254,10676,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:16 AM,14/Jan/26 11:16 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0025z:,,,,,,10382,AMS-108,Kiểm thử E2E Xếp ca & Đơn từ,To Do,14/Jan/26 11:16 AM
"Flow: Xếp ca -> Manager Tạo đơn nghỉ -> Check lịch hiển thị ""Nghỉ"".",AMS-253,10674,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:16 AM,14/Jan/26 11:16 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0025r:,,,,,,10382,AMS-108,Kiểm thử E2E Xếp ca & Đơn từ,To Do,14/Jan/26 11:16 AM
Wait & Verify DB có bản ghi Log.,AMS-252,10672,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:16 AM,14/Jan/26 11:16 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0025j:,,,,,,10380,AMS-107,Kiểm thử E2E Máy chấm công,To Do,14/Jan/26 11:16 AM
Verify UI hiện Box.,AMS-251,10670,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:16 AM,14/Jan/26 11:16 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0025b:,,,,,,10380,AMS-107,Kiểm thử E2E Máy chấm công,To Do,14/Jan/26 11:16 AM
Mock Camera Input (Video file).,AMS-250,10668,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:16 AM,14/Jan/26 11:16 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00253:,,,,,,10380,AMS-107,Kiểm thử E2E Máy chấm công,To Do,14/Jan/26 11:16 AM
Tooltip chi tiết giờ vào/ra tại Cell.,AMS-249,10666,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0024v:,,,,,,10376,AMS-105,UI Bảng công Tổng hợp,To Do,14/Jan/26 11:15 AM
"Cell Color coding: Xanh (Đủ), Đỏ (Muộn), Vàng (Nghỉ).",AMS-248,10664,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0024n:,,,,,,10376,AMS-105,UI Bảng công Tổng hợp,To Do,14/Jan/26 11:15 AM
"Matrix Table: Rows = Users, Cols = Days.",AMS-247,10662,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0024f:,,,,,,10376,AMS-105,UI Bảng công Tổng hợp,To Do,14/Jan/26 11:15 AM
Action Approve/Reject.,AMS-246,10660,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00247:,,,,,,10286,AMS-52,Form Quản lý Đơn từ,To Do,14/Jan/26 11:15 AM
List đơn chờ duyệt (cho Manager).,AMS-245,10658,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0023z:,,,,,,10286,AMS-52,Form Quản lý Đơn từ,To Do,14/Jan/26 11:15 AM
"Form tạo đơn (Lý do, Ngày, Loại đơn).",AMS-244,10656,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0023r:,,,,,,10286,AMS-52,Form Quản lý Đơn từ,To Do,14/Jan/26 11:15 AM
List danh sách ca làm việc.,AMS-243,10654,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:15 AM,14/Jan/26 11:15 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0023j:,,,,,,10282,AMS-50,UI Cấu hình Ca làm việc,To Do,14/Jan/26 11:15 AM
Input number cho Dung sai (phút).,AMS-242,10652,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:14 AM,14/Jan/26 11:14 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0023b:,,,,,,10282,AMS-50,UI Cấu hình Ca làm việc,To Do,14/Jan/26 11:14 AM
Form TimePicker cho Giờ vào/ra.,AMS-241,10650,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:14 AM,14/Jan/26 11:14 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00233:,,,,,,10282,AMS-50,UI Cấu hình Ca làm việc,To Do,14/Jan/26 11:14 AM
Animation đẩy dòng log mới lên đầu danh sách widget.,AMS-240,10648,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:12 AM,14/Jan/26 11:12 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0022v:,,,,,,10318,AMS-68,Widget Log Realtime,To Do,14/Jan/26 11:12 AM
Listen event new_checkin.,AMS-239,10646,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:12 AM,14/Jan/26 11:12 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0022n:,,,,,,10318,AMS-68,Widget Log Realtime,To Do,14/Jan/26 11:12 AM
Setup Socket.io Client.,AMS-238,10644,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:12 AM,14/Jan/26 11:12 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0022f:,,,,,,10318,AMS-68,Widget Log Realtime,To Do,14/Jan/26 11:12 AM
Tối ưu query (Caching kết quả thống kê).,AMS-237,10642,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:12 AM,14/Jan/26 11:12 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i00227:,,,,,,10374,AMS-104,API Thống kê Dashboard,To Do,14/Jan/26 11:12 AM
Query SQL Aggregate: Count Late/Absent theo ngày.,AMS-236,10640,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:12 AM,14/Jan/26 11:12 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0021z:,,,,,,10374,AMS-104,API Thống kê Dashboard,To Do,14/Jan/26 11:12 AM
"Query SQL Aggregate: Count User, Sum Salary.",AMS-235,10638,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:12 AM,14/Jan/26 11:12 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0021r:,,,,,,10374,AMS-104,API Thống kê Dashboard,To Do,14/Jan/26 11:12 AM
Check xem server có bị Crash hay Memory Leak không.,AMS-234,10636,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:10 AM,14/Jan/26 11:10 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0021j:,,,,,,10322,AMS-70,Kiểm thử Tải (Stress Test),To Do,14/Jan/26 11:10 AM
Monitor RAM/CPU server bằng Docker stats.,AMS-233,10634,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,14/Jan/26 11:10 AM,14/Jan/26 11:10 AM,,,,0,,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,,,,,,,,,,,0|i0021b:,,,,,,10322,AMS-70,Kiểm thử Tải (Stress Test),To Do,14/Jan/26 11:10 AM
